18,18
20,20
20,20
14,14
21,21
22,22
25,25
18,18
13,13
16,16
14,14
16,16
20,20
14,14
14,14
13,13
13,13
12,12
12,12
14,14
13,13
12,12
12,12
15,15
12,12
15,15
13,13
13,13
12,12
13,13
20,20
15,15
15,15
22,22
16,16
16,16
16,16
24,24
28,28
15,15
14,14
15,15
18,18
15,15
16,16
18,18
14,14
16,16
15,15
13,13
12,12
13,13
17,17
17,17
16,16
23,23
15,15
17,17
16,16
16,16
14,14
21,21
20,20
14,14
17,17
14,14
13,13
857,41
41,27
27,26
26,26
26,25
25,25
25,27
27,25
25,26
26,26
26,34
34,24
24,23
23,24
24,26
26,24
24,26
26,24
24,25
25,27
27,25
25,24
24,25
25,26
26,27
27,26
26,26
26,26
26,36
36,24
24,24
24,26
26,24
24,24
24,25
25,29
29,25
25,41
693,52
41,42
52,43
42,38
43,29
38,28
29,30
28,26
30,27
26,26
27,25
26,27
25,26
27,25
26,26
25,27
26,26
27,27
26,30
27,39
30,34
39,37
34,25
37,28
25,25
28,26
25,24
26,25
24,25
25,25
25,26
25,38
26,42
988,37
38,37
42,35
37,25
37,24
35,25
25,25
24,26
25,25
25,25
26,25
25,23
25,25
25,25
23,24
25,24
25,35
24,26
24,27
35,25
26,25
27,26
25,25
25,24
26,27
25,25
24,26
27,25
25,24
26,25
25,25
24,25
25,39
25,37
25,38
870,37
39,34
37,25
38,25
37,25
34,25
25,25
25,25
25,35
25,25
25,25
25,25
35,25
25,25
25,24
25,25
25,24
25,25
24,24
25,26
24,29
25,25
24,24
26,25
29,25
25,24
24,25
25,36
25,26
24,24
25,27
36,39
26,37
24,42
27,34
844,25
39,36
37,25
42,24
34,25
25,25
36,25
25,26
24,24
25,23
25,25
25,24
26,25
24,25
23,24
25,25
24,24
25,25
25,25
24,38
25,28
24,25
25,25
25,25
38,25
28,24
25,24
25,24
25,26
25,25
24,24
24,38
24,38
26,37
25,34
24,24
860,24
38,27
38,24
37,24
34,25
24,25
24,25
27,24
24,25
24,27
25,27
25,25
25,25
24,35
25,24
27,24
27,24
25,24
25,25
35,26
24,25
24,25
24,25
24,24
25,25
26,25
25,25
25,25
25,26
24,25
25,42
25,38
25,38
25,37
26,34
25,25
862,24
42,24
38,26
38,24
37,35
34,25
25,24
24,35
24,28
26,25
24,24
35,25
25,26
24,25
35,25
28,24
25,27
24,27
25,24
26,25
25,24
25,25
24,25
27,34
27,25
24,26
25,25
24,23
25,38
25,37
34,39
25,37
26,45
25,24
23,24
850,24
38,24
37,25
39,25
37,24
45,25
24,24
24,25
24,24
24,23
25,25
25,24
24,25
25,24
24,24
25,26
24,26
23,34
25,24
24,24
25,24
24,24
24,25
26,24
26,25
34,25
24,25
24,51
24,
24,
25,
24,
25,
25,
25,
853,
51,
,
25.21865889,6.761302122
